Exported SMaRT Impedance Data
Experiment start time : 2/9/2017 11:00:42 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Impedance Imaginary (Ohms)
174,3,52,02:57:43,7.943283,1,0,105.00,105.95,103.00,32.63073,9.329959E-02,2.859256E-03,-6.140304E+07,
175,3,53,02:57:51,6.309574,1,0,105.00,105.95,103.00,32.6326,8.575993E-02,2.628045E-03,-7.729752E+07,
176,3,54,02:57:58,5.011872,1,0,105.00,105.95,103.00,32.6362,7.811266E-02,2.393436E-03,-9.730122E+07,
177,3,55,02:58:05,3.981072,1,0,105.00,105.95,103.00,32.64088,0.0786304,2.408955E-03,-1.224774E+08,
178,3,56,02:58:13,3.162277,1,0,105.00,105.95,103.00,32.64483,7.861803E-02,2.408284E-03,-1.541713E+08,
179,3,57,02:58:20,2.511887,1,0,105.00,105.95,103.00,32.64891,8.322749E-02,2.549166E-03,-1.940656E+08,
180,3,58,02:58:25,1.995262,1,0,105.00,105.95,103.00,32.65049,9.120218E-02,2.793286E-03,-2.443021E+08,
181,3,59,02:58:33,1.584893,1,0,105.00,105.95,103.00,32.64979,0.1059252,3.244283E-03,-3.075639E+08,
182,3,60,02:58:41,1.258925,1,0,105.00,105.95,103.00,32.65009,0.1187918,3.638329E-03,-3.871954E+08,
183,3,61,02:58:46,1,1,0,105.00,105.95,103.00,32.65113,0.1445753,4.427878E-03,-4.874314E+08,
184,4,1,03:51:47,1000000,1,0,100.00,100.96,98.00,22.01692,0.4189693,1.902943E-02,-722.6142,
185,4,2,03:51:54,794328.2,1,0,100.00,100.96,98.00,21.79062,0.4484206,0.0205786,-919.1083,
186,4,3,03:52:01,630957.3,1,0,100.00,100.96,98.00,21.68062,0.4909158,2.264307E-02,-1162.856,
187,4,4,03:52:07,501187.3,1,0,100.00,100.96,98.00,21.64246,0.5346653,2.470446E-02,-1466.387,
188,4,5,03:52:13,398107.2,1,0,100.00,100.96,98.00,21.65634,0.5732763,2.647153E-02,-1844.722,
189,4,6,03:52:19,316227.8,1,0,100.00,100.96,98.00,21.6922,0.6271797,2.891269E-02,-2318.215,
190,4,7,03:52:25,251188.6,1,0,100.00,100.96,98.00,21.74611,0.6873837,0.0316095,-2910.75,
191,4,8,03:52:31,199526.2,1,0,100.00,100.96,98.00,21.81983,0.7472277,3.424535E-02,-3651.404,
192,4,9,03:52:37,158489.3,1,0,100.00,100.96,98.00,21.9094,0.8121889,3.707033E-02,-4577.131,
193,4,10,03:52:42,125892.5,1,0,100.00,100.96,98.00,22.01036,0.8869488,4.029688E-02,-5734.408,
194,4,11,03:52:48,100000,1,0,100.00,100.96,98.00,22.12613,0.9716476,4.391404E-02,-7179.234,
195,4,12,03:52:54,79432.82,1,0,100.00,100.96,98.00,22.25064,1.057683,4.753495E-02,-8984.574,
196,4,13,03:53:02,63095.73,1,0,100.00,100.96,98.00,22.40702,1.144375,5.107217E-02,-11228.06,
197,4,14,03:53:08,50118.72,1,0,100.00,100.96,98.00,22.56512,1.243777,5.511946E-02,-14030.25,
198,4,15,03:53:14,39810.72,1,0,100.00,100.96,98.00,22.73849,1.354396,5.956401E-02,-17519.45,
199,4,16,03:53:20,31622.78,1,0,100.00,100.96,98.00,22.9335,1.466951,6.396544E-02,-21856.3,
200,4,17,03:53:26,25118.86,1,0,100.00,100.96,98.00,23.14132,1.592382,6.881121E-02,-27250.89,
201,4,18,03:53:32,19952.62,1,0,100.00,100.96,98.00,23.37043,1.720077,7.360057E-02,-33947.47,
202,4,19,03:53:38,15848.93,1,0,100.00,100.96,98.00,23.62204,1.855528,7.855071E-02,-42250.45,
203,4,20,03:53:43,12589.25,1,0,100.00,100.96,98.00,23.89878,1.994613,8.346087E-02,-52532.72,
204,4,21,03:53:49,10000,1,0,100.00,100.96,98.00,24.19761,2.136454,8.829195E-02,-65264.26,
205,4,22,03:53:55,7943.282,1,0,100.00,100.96,98.00,24.52687,2.279436,9.293626E-02,-80992.17,
206,4,23,03:54:01,6309.573,1,0,100.00,100.96,98.00,24.87665,2.422914,9.739712E-02,-100444.9,
207,4,24,03:54:07,5011.873,1,0,100.00,100.96,98.00,25.25985,2.562583,0.1014489,-124435,
208,4,25,03:54:13,3981.072,1,0,100.00,100.96,98.00,25.67124,2.688441,0.1047258,-154041,
209,4,26,03:54:19,3162.278,1,0,100.00,100.96,98.00,26.1096,2.804466,0.1074113,-190562.8,
210,4,27,03:54:25,2511.886,1,0,100.00,100.96,98.00,26.57437,2.900358,0.1091412,-235621.4,
211,4,28,03:54:31,1995.262,1,0,100.00,100.96,98.00,27.06289,2.969569,0.1097284,-291238.2,
212,4,29,03:54:37,1584.893,1,0,100.00,100.96,98.00,27.56215,3.017801,0.1094908,-360024.2,
213,4,30,03:54:43,1258.925,1,0,100.00,100.96,98.00,28.07582,3.030176,0.1079283,-445100.7,
214,4,31,03:54:48,1000,1,0,100.00,100.96,98.00,28.59532,3.0061,0.1051256,-550493.4,
215,4,32,03:54:54,794.3282,1,0,100.00,100.96,98.00,29.10714,2.945899,0.1012088,-681388.4,
216,4,33,03:55:00,630.9573,1,0,100.00,100.96,98.00,29.60536,2.849095,9.623578E-02,-844201.8,
217,4,34,03:55:07,501.1872,1,0,100.00,100.96,98.00,30.08002,2.718304,9.036909E-02,-1047153,
218,4,35,03:55:13,398.1072,1,0,100.00,100.96,98.00,30.52246,2.552586,8.362976E-02,-1300690,
219,4,36,03:55:19,316.2278,1,0,100.00,100.96,98.00,30.926,2.363574,7.642677E-02,-1617957,
220,4,37,03:55:26,251.1886,1,0,100.00,100.96,98.00,31.28612,2.155952,6.891081E-02,-2015631,
