PeMA-05142015, 14.5.2015, 9:29
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq.[Hz]	 Temp.[°C]	 Eps'   	 Eps''  
 7.1969e+03	 1.0500e+02	 3.9098e+00	 2.4709e-01
 5.1795e+03	 1.0500e+02	 3.9510e+00	 2.0590e-01
 3.7276e+03	 1.0500e+02	 3.9827e+00	 1.6986e-01
 2.6827e+03	 1.0500e+02	 4.0061e+00	 1.3995e-01
 1.9307e+03	 1.0500e+02	 4.0236e+00	 1.1601e-01
 1.3895e+03	 1.0500e+02	 4.0365e+00	 9.7920e-02
 1.0000e+03	 1.0500e+02	 4.0463e+00	 8.5522e-02
 7.1969e+02	 1.0500e+02	 4.0536e+00	 7.8638e-02
 5.1795e+02	 1.0500e+02	 4.0590e+00	 7.7392e-02
 3.7276e+02	 1.0500e+02	 4.0632e+00	 8.2599e-02
 2.6827e+02	 1.0500e+02	 4.0665e+00	 9.5189e-02
 1.9307e+02	 1.0500e+02	 4.0690e+00	 1.1672e-01
 1.3895e+02	 1.0500e+02	 4.0710e+00	 1.5010e-01
 1.0000e+02	 1.0500e+02	 4.0729e+00	 1.9909e-01
 7.1969e+01	 1.0500e+02	 4.0750e+00	 2.6899e-01
 5.1795e+01	 1.0500e+02	 4.0779e+00	 3.6770e-01
 3.7276e+01	 1.0500e+02	 4.0821e+00	 5.0543e-01
 2.6827e+01	 1.0500e+02	 4.0892e+00	 6.9749e-01
 1.9307e+01	 1.0500e+02	 4.1020e+00	 9.6364e-01
 1.3895e+01	 1.0500e+02	 4.1243e+00	 1.3299e+00
 1.0000e+01	 1.0500e+02	 4.1630e+00	 1.8318e+00
 7.1969e+00	 1.0500e+02	 4.2245e+00	 2.5140e+00
 5.1795e+00	 1.0500e+02	 4.3167e+00	 3.4305e+00
 3.7276e+00	 1.0500e+02	 4.4539e+00	 4.6719e+00
 2.6827e+00	 1.0500e+02	 4.6253e+00	 6.3295e+00
 1.9307e+00	 1.0500e+02	 4.8413e+00	 8.5808e+00
 1.3895e+00	 1.0500e+02	 5.0672e+00	 1.1621e+01
 1.0000e+00	 1.0500e+02	 5.3103e+00	 1.5796e+01
 7.1969e-01	 1.0500e+02	 5.5349e+00	 2.1538e+01
 5.1795e-01	 1.0500e+02	 5.7189e+00	 2.9464e+01
 3.7276e-01	 1.0500e+02	 5.8914e+00	 4.0489e+01
 2.6827e-01	 1.0500e+02	 6.0342e+00	 5.5788e+01
 1.9307e-01	 1.0500e+02	 6.1693e+00	 7.7053e+01
 1.3895e-01	 1.0500e+02	 6.3220e+00	 1.0654e+02
 1.0000e-01	 1.0500e+02	 6.5164e+00	 1.4713e+02
 7.1969e-02	 1.0500e+02	 6.7751e+00	 2.0343e+02
 5.1795e-02	 1.0500e+02	 7.1704e+00	 2.8174e+02
 3.7276e-02	 1.0500e+02	 7.8166e+00	 3.8967e+02
 2.6827e-02	 1.0500e+02	 8.7529e+00	 5.3989e+02
 1.0000e+07	 1.0000e+02	 2.3791e+00	 8.6267e-04
 7.1969e+06	 1.0000e+02	 2.3908e+00	 8.9545e-02
 5.1795e+06	 1.0000e+02	 2.3921e+00	 1.1045e-01
 3.7276e+06	 1.0000e+02	 2.4109e+00	 1.2475e-01
 2.6827e+06	 1.0000e+02	 2.4298e+00	 1.4885e-01
 1.9307e+06	 1.0000e+02	 2.4579e+00	 1.7305e-01
